FireName,Year,GOES_UTC,local_tz,local_tzGMT
Kincade,2019,2019-10-24 04,America/Los_Angeles,Etc/GMT+8
Walker,2019,2019-09-04 07,America/Los_Angeles,Etc/GMT+8
August Complex,2020,2020-08-16 21,America/Los_Angeles,Etc/GMT+8
Bobcat,2020,2020-09-06 19,America/Los_Angeles,Etc/GMT+8
Creek,2020,2020-09-05 01,America/Los_Angeles,Etc/GMT+8
CZU Lightning Complex,2020,2020-08-16 15,America/Los_Angeles,Etc/GMT+8
Dolan,2020,2020-08-18 18,America/Los_Angeles,Etc/GMT+8
Glass,2020,2020-09-27 10,America/Los_Angeles,Etc/GMT+8
July Complex,2020,2020-07-22 17,America/Los_Angeles,Etc/GMT+8
LNU Lightning Complex,2020,2020-08-17 13,America/Los_Angeles,Etc/GMT+8
North Complex,2020,2020-08-17 16,America/Los_Angeles,Etc/GMT+8
Red Salmon Complex,2020,2020-07-27 18,America/Los_Angeles,Etc/GMT+8
SCU Lightning Complex,2020,2020-08-16 11,America/Los_Angeles,Etc/GMT+8
Slater and Devil,2020,2020-09-08 13,America/Los_Angeles,Etc/GMT+8
SQF Complex,2020,2020-08-19 14,America/Los_Angeles,Etc/GMT+8
W-5 Cold Springs,2020,2020-08-18 18,America/Los_Angeles,Etc/GMT+8
Zogg,2020,2020-09-27 21,America/Los_Angeles,Etc/GMT+8
Antelope,2021,2021-08-01 17,America/Los_Angeles,Etc/GMT+8
Beckwourth Complex,2021,2021-06-30 23,America/Los_Angeles,Etc/GMT+8
Caldor,2021,2021-08-15 01,America/Los_Angeles,Etc/GMT+8
Dixie,2021,2021-07-14 00,America/Los_Angeles,Etc/GMT+8
KNP Complex,2021,2021-09-10 14,America/Los_Angeles,Etc/GMT+8
McCash,2021,2021-08-01 02,America/Los_Angeles,Etc/GMT+8
McFarland,2021,2021-07-30 01,America/Los_Angeles,Etc/GMT+8
Monument,2021,2021-07-31 01,America/Los_Angeles,Etc/GMT+8
River Complex,2021,2021-07-30 21,America/Los_Angeles,Etc/GMT+8
Tamarack,2021,2021-07-04 18,America/Los_Angeles,Etc/GMT+8
Windy,2021,2021-09-10 00,America/Los_Angeles,Etc/GMT+8
